question,answer,Structure_your_answers_in_logical_paragraphs,One_main_idea_per_paragraph,Include_an_introduction_and_conclusion,Support_main_points_with_an_explanation_and_then_an_example,Use_cohesive_linking_words_accurately_and_appropriately,Vary_your_linking_phrases_using_synonyms,score
Major environmental problem,"Many people think that the loss of particular plants and animal species is the major environmental problem that humans are facing nowadays, while others believe that some environmental issues are more alarming. I agree with the latter view and will analyze both views in the following essay.

On the one hand, the loss of animal and plant species is considered a main environmental problem because of its impact on our planet’s biodiversity. Around the world, trees are being cut down for industrial and agricultural purposes. As a result, there will not be enough trees to produce oxygen for humans and prevent the soil from washing away. Meanwhile, endangered animals are being poached to serve people’s needs, hence negatively affecting the whole ecosystem. For example, when sharks are killed for their fins, many types of aquatic species no longer have their natural predators to control their population. Consequently, the disappearance of predators disrupts the natural food chain and then leads to unbalanced underwater ecosystems.

On the other hand, there are more urgent environmental issues that exist aside from the loss of plant and animal species. Those problems including pollution and climate change are the main factors that cause the loss of biodiversity and put the natural habitat on the brink of destruction. Water and soil pollution caused by industrial and agricultural activities are poisoning a large number of species of marine and land animals, which means that human health is also negatively affected as those animals are humans’ important food source. Moreover, changing weather patterns caused by climate change lead to more frequent occurrences of natural disasters such as droughts, floods, and wildfires.

In conclusion, the loss of particular plants and animals should indeed be paid great attention to, but other environmental issues should also be taken into consideration. I think we should put a great deal of effort into tackling all of those problems rather than only focusing on the animals and plants’ extinction.",No,No,Yes,No,Yes,No,6.5
Individuals can do nothing to improve the environment; only governments and large companies can make a difference.,"Some people say that there is no need for any individual to help for the improvement of the environment because they believe that it only depends on the performance of the government and huge companies. I totally disagree to this idea. I believe that every individual is important through participating and encouraging awareness to all.

Everyone is essential. Any good plans for the betterment of the environment has to be started by an individual. The goal will only be achieve if every part of the community will participate. For example, the government had announce about the global warming prevention and tips on how to do it, they need the participation of every individual so that the goal may be accomplish, because if people will only hear about it without any action from them, the goal will not be met.

Also, any individual can be an instrument to encourage awareness to all that they will encounter. If anyone had been intentionally doing his/her part for the project, the outcome will be positive. One good example is being member of a family, let us say that the mother heard about the project of the government to save the earth by starting from segregating garbage in different ways which are garbage, recycling and compost. The mom can be a good encourager by first doing it by herself, then next is to teach her husband and kids to do it as well. This is a good contribution to the government's project that may lead to a positive outcome.",Yes,No,Yes,No,No,No,6.5
"The first man to walk on the moon claimed it was a step forward for mankind. However, it has made little difference in most people’s lives. To what extent do you agree or disagree?","*Discovering the space is a great invention for human beings. Nevertheless it has had few effects in lifestyles. In my opinion, although discovering space is a great invention, people's incomes is not influenced by the space exploration and technologies. *

*Many industries such as mechanics, electronics, and so on are assembled in a high tech instrument namely spacecraft, so, every country having this high-tech technology can develop it's industry more and earn more money by selling facilities and services. It is argued that science brings out welfare. *

*Astronomical science is very specific feild and few people are dealt with space survey. Most people have regular jobs which are not related to space exploration or very state of the art technologies. Having said that welfare is related to relationships of countries, trade, war, and other resources which have direct effects on the people's life. *

*In conclusion, space exploration is an achievement for human, thereby has it's effects on the societies. *",No,No,Yes,No,No,No,5
"Some people think that the government should provide assistance to all kinds of artists including painters, musicians and poets. However, other people think that this is a waste of money. Discuss both views and give your opinion.","Many people lives are richer because of their art which they express to community. Many individual believe that the government should provide funds to artist while other believe that it is unfair. This essay analyse both the perspectives.

To begin with former views, there are many points that authority should help artists. Artists are contribute to nation by their art. Creativity is having in every person by their born but to elaborate it is a vital thing for any individual and all artist do that. At the end, they serve their creativity to their community for entertain perpose. Additionally, artist represent their culture by their art so, they become ambassador of their nation. For an example, painters represent their art by emboss as well as sculpture represent by carving and engraving and could be popular worldwide and express their tradition.

Moving to a latter view counter of former view having a strong reasons. Government should firstly focus on basic need for developing country. Individual's primary need is accommodation shelter and food yet, many individual has not get it. For well being life of human is a foremost priority for authority and still thye focus on other art instead this primary things. Additionally, they should also focus on infrastructure development. Nation want to add their name in developed country, foremost of it is developed their urban, ruler and their transportation by providing more found in it.

To conclude and my opinion is, although the art is part of culture and feelings of individual, providing a primary need of citizen is essential for any country.",No,No,Yes,No,Yes,No,5.5
Universities should accept equal numbers of male and female students in every subject. To what extent do you agree or disagree?,"Equality between men and women has always been an issue in societies all around the world. Some believe that universities ought to consent to equal numbers of male and female students in all subjects. However, I disagree on this issue that the capacity of each subject should be equal for men and women students due to the lack of practicality and fairness.

The first reason that the numbers of male and female students accepted by universities should not be equal in every subject is that it will definitely be impractical. since some subjects are not appropriate and also not popular for both genders, the opportunity for students of one gender in a specific subject might be eliminated. For an instance, some subjects such as nursing, clothes designing, and interior designing are more popular among female students whereas some other subjects such as civil engineering and mechanics are more desirable for male students. In addition, job opportunities may be influenced by this issue. If there was a shortage of male mechanics, some of the subject-related projects would not be carried out.

Another good reason for inequality in the numbers of male and female students in all university subjects can be the fact that it will not be fair. Some meritorious students may lose their chance to be accepted in the particular subject if the capacity of the course is divided equally, which is frustrating for students. So, I believe that the numbers of seats for each subject should not be based on the gender.

In conclusion, universities ought not to accept equal numbers of male and female students in every subject due to being practical and fair. The capacity of each subject had better be based on merit not gender.",Yes,No,Yes,No,No,No,6
"As most people spend a major of their adult life at work, job satisfaction is an important element of individual wellbeing. What factors contribute to job satisfaction? How realistic is the expectation of job satisfaction for all workers?","Undoubtedly, a full-time job has always been an integral part of most people’s lives. Since it is said that majority of the adult life is dedicated to working, job satisfaction is a significant element in people’s health and happiness. There are several factors which can lead to job satisfaction. However, I believe the expectation that all people can be satisfied with their working condition and get full enjoyment is unrealistic.

There are several factors which can result in job satisfaction. Firstly, workers’ interests might be influential in enjoying the work they carry out. In my opinion, the stronger interests people have in their job, the higher motivation they get to take on the work and do it properly. Another effective factor can be the sense of fulfillment workers feel after work completion and getting promotion. When they monitor their progress day by day, for example, they get motivated and it may lead to higher sense of responsibility they develop. Besides, they become good team players and can co-operate with others well. The last but not least, the amount of money people gain as the salary can play an important role in job satisfaction. When people get more money in a fulfilling job, they get encouraged to carry out their work with the sense of happiness and satisfaction.

Of course, all people in a society are not expected to enjoy their working conditions. Sometimes, the need for money forces people to find a permanent job regardless of their interests. For instance, due to the rising inflation in my country, people have to find a well-paid job or work overtime just for gaining money. They have to overwork, therefore, to make a living and there sometimes seems to be no balance between their work and life and they cannot spend their time with their family members and friends and enjoy their lives; which may lead to physical or mental health problems.

In conclusion, even though there are a lot of factors such as people’s interests, stimulating working conditions, and income which cause job satisfaction, it is unrealistic expectation that all workers are likely to be satisfied and content with their jobs.",No,No,Yes,No,Yes,No,5.5
"Nowadays, protection of environment has been one of the critical issues for human being.","Nowadays, protection of environment has been one of the critical issues for human being. The protection of our future must be realised only with the ensurence of preservation of nature. However, environmetal problems ranges quite wide from pollution of air, water and soil to destruction of nature as deforestation and desertification. Therefore, some say that individuals has no influence over the solution of these issues and that government and large companies must be attributed. In my opinion, all of them, that is, individuals, government and large commercial companies are responsible in improving the environment. I will discuss this in this essay. First of all, the influence of individuals is not negligible. The cumulative, mass opinion must play important role over its government in policy desicion. The government would lagislate against air/water pollution or destrustion of nature which in turn does not allow commercial companies act against law. If individuals are not concerned of environment, government would allow companies' commercial activities without any sanction against destruction of nature. In 1960s when Japanese economy was thriving rapidly, a lot of companies developed its factories and manufactured its product ignoring environmental effect. In the result, some companies caused serious pollution which killed thousand of innocent people. Now there are strict regulations in Japan to prevent companies from causing serious environmental problems. To sum up, all these three factors; observation of citizens, rule of law, action of company are indispensable for the improvement of environment. If even one of them is missing other two would not fanction.",No,No,Yes,No,No,No,5
Individuals can do nothing to improve the environment; only governments and large companies can make a difference.,"The responsibility of environmental conservation has sparked an intense discussion among the community. Some say that citizens could not pay any effort to help improve the situation while governments and big organisations can make a giant leap to alleviate the problem. In fact, we all should work collectively in different aspects of life to achieve the same goal. Individuals could be environmentally friendly and contribute in their daily lives. Recycling, replacing and reducing are great examples to demonstrate how we can play a part in protecting the planet. In our everyday lives, we can recycle papers, plastic containers, metal cans and so on. Besides, when we are doing shopping for groceries, books or clothes, we could always use reusable bags and buy goods with less unnecessary wrapping. With all these small actions, everyone in the society can make a change to conserve our natural environment. On the other hand, governments and large corporations could work on a higher level to enhance the environment. For example, many governments have imposed plastic bag levy to reduce its use and we can see some efficacy from this move. Also, companies could sell goods with less extra packaging and import fresh produces or goods from sustainable sources. Implementation of new laws by governments could make organisations do businesses in such a way that brings less harm to the planet. In conclusion, I disagree that only governments and huge corporations could make a change to preserve the natural environment. Instead, we should work and contribute together in both daily life, legislative changes and manufacturing processes to achieve environmental conservation.",No,No,Yes,No,No,No,5
It is generally accepted that families are not as close as they used to be. Give some reasons why this change has happened and suggest how families could be brought closer together.,"Nowadays, people’s lifestyle has changed in comparison to the past and family members are not as close as they used to be for several reasons such as the economic issues and the growth of technology. Despite the fact that some would argue that this problem will correct itself overtime, in my view, there is much that can be done to address this problem constructively.

The first reason that families are far from each other these days can be the staggering costs of life which enforce almost all family members to work hard even overtime to provide money and amenities for the family. The rising inflation rate affects all parts of people’s lives and living expenses such as accommodation, either purchasing or renting, eating products, clothes, and other necessities. People, therefore, have to overwork and they cannot find free time spending with their family members in relief. Besides, by the growth of technology, most people tend to spend their time talking to their friends on social media or surfing the internet. So, this keeps people amused and away from their families.

One possible approach would be the government efforts and negotiations in order to hinder the day by day increase in prices; especially the price of dollar which has the significant and direct impact on people’s lives. This would certainly tackle the problem. However, measures like this would be considered as excessive and difficult to be done quickly. A more feasible approach would be time-management in using technology by family members. For instance, family members are to spend their time together after work rather than spending their time on social media or playing games on their gadgets.

In conclusion, it is true that this problem will probably not be solved quickly. However, that is not the reason to avoid taking actions. If the government and people take appropriate actions in this case, this problem will definitely be solved overtime and families could be brought closer together again, I suppose.",Yes,No,Yes,No,Yes,No,7
Problem of weight increasing in few countries. What solution will be?,"The bodies of inhabitant in some states are deteriorating and their weight is also growing day by day. The main cause of this is diet habit and it will be solved by physical exercise.

We should maintain our daily food menu for maintaining sound health for the life of disease free persons. The inhabitants of developing country do not follow the rules of eating in the casual day. For example, they take all high rich fast food in the restaurants what they want due to having financial status. For this habit, many medical disorders also spread this modern word. We can not depend on mechanical instruments instead of ancient method in all diet rules

Physical movement is most important for every one in this modern age, because the people do not walk one metre too. For Instance, they have to do daily two time at least thirty minutes for the suitable heath. For example. they can do this by going to office or school running by-cycles not luxurious vehicles. We can train up our next generation from childhood for everyday playing so that they can aware of their valuable heath. In fact, we should not rely on the virtual world but we should maintain all in practical activities for our precious health.

In conclusion, the fat of the certain country can be removed by the daily practical labour and walking in short range of distances. I recommend, we should not purchase more cars for our ambitious future and the government should apply high tax rate in the price of innovative cars. ",No,No,Yes,No,Yes,No,6.5
What are the advantages and disadvantages of extracurricular activities for students?,"In recent years, school systems not only educate students, but also provide a large number of extracurricular activities, which can help students in developing their skills and abilities. However, while it is believed that taking part in such activities can be beneficial in a variety of ways, there are several potential drawbacks that need to be taken into account.

On the one hand, activities outside classroom environtment can bring certain advantages. Firstly, one of the main benefits of doing these activities is that you can improve your soft skills. Organized practical courses give students a chance to exercise and help teach communication skills, problem-solving skills, teamwork and collaboration, all of which are necessary during their grow up and prepare for their future jobs.

Secondly, attending extra activities also play an important role in promoting the mental health. These days, students become increasingly stressed because of overwhelming timetables in the compulsory curriculum. Therefore, students will be relieved pressure of study and feel full of energy when they spend their time on hobby and doing sports.

On the other hand, there are a considerable number of disadvantages. The first one is that being involved in extra curricular activities might be time management. As a result, students might have not enough time to complete their assignment, which fails to meet teachers’ requirements and poor study results.

Another problem is that students can lose their studying motivation in academic program. They may experience some physical difficulties when they participate in such activities. For instance, heavy sport trainings may lead to some health issues. Students who join a sport club may get extremely exhausted and cannot spare enough time for anything else, which effects on academic and creates an imbalance.",No,No,No,No,Yes,No,5.5
The major issue of few country is increasing weight and how it can be solved.,"The bodies of inhabitant in some states are deteriorating and their weight is also growing day by day. The main cause of this is diet habit and it will be solved by physical exercise.

We should maintain our daily food menu for maintaining sound health for the life of disease free persons. The inhabitants of developing country do not follow the rules of eating in the casual day. For example, they take all high rich fast food in the restaurants what they want due to having financial status. For this habit, many medical disorders also spread this modern word. We can not depend on mechanical instruments instead of ancient method in all diet rules

Physical movement is most important for every one in this modern age, because the people do not walk one metre too. For Instance, they have to do daily two time at least thirty minutes for the suitable heath. For example. they can do this by going to office or school running by-cycles not luxurious vehicles. We can train up our next generation from childhood for everyday playing so that they can aware of their valuable heath. In fact, we should not rely on the virtual world but we should maintain all in practical activities for our precious health.

In conclusion, the fat of the certain country can be removed by the daily practical labour and walking in short range of distances. I recommend, we should not purchase more cars for our ambitious future and the government should apply high tax rate in the price of innovative cars. ",No,No,Yes,No,Yes,No,6.5
Some people say emotional health is better than physical health. To what extend do you agree,"The wellbeing of people has been since been argued that it is better to be emotionally fit than physical wellness. It is debatable over the years by some people that emotional health fit is of a better choice to physical. i strongly disagree with this essay and my reasons are, emotional wellbeing can mostly be achieved by a physical state of the body. Moreover physical fitness makes us not only emotional healthy but the fitness of the entire self. To begin with, emotional health is mostly achieved by the physical wellbeing. When the body is devoid of any health condition, it is fit and people are able to meet their targets in life. Just like a patient I saw last week in the consulting room who was a musician and very energetic but had an accident that led to surgery and resulted in amputation. Ever since he has been down with one sickness to the other. This ened up with depression and he is currently on antidepressants. Secondly, healthy body makes the other organs medically stable. The patient with one sickness ends up in the hospital and because it is just a low blood pressure he has become depressed, anxious leading to obsession. Example is a bstoke patient is happy and able to walk without support. To conclude, it is argued that emotional health is better than physical fitness and I strongly disagree due to the following two reasons, one needs to be physically stable to have a sound mind. also physical stability will enhance the general health of the person. The two health types in human are all needed and government is advised to encourage all these.",No,No,Yes,No,Yes,No,5
"Compared to previous generations, an increasing number of people are traveling overseas for holidays. Do the advantages outweigh the disadvantages?","In modern life, more people take trips overseas for pleasure compared to the past. This tendency is increasing all around the globe. The following paragraphs are going to explain the major advantages and disadvantages of the rising trend.

One of the clearest advantages here is that it gives people the opportunity to experience different cultures and customs, giving a broader perspective of the world. By visiting other countries, people become more understanding and tolerant of other cultures, and can learn to appreciate the cultural differences that exist. There are also benefits for the holiday itself, as many people tend to holiday in destinations that have better weather. For example, citizens of countries where the number of sunny hours is limited can rip benefit from abundance of sunshine in hot countries enriching their body with vitamin D.

However, there are disadvantages for the country, as citizens are spending their money overseas rather than in the domestic market. By taking holiday at home, people can not only economize in their budget but also play a role in the development of tourism in their own country. However, this is negated by the fact that although people leave their own country for a holiday, other people visit their country for the same reason. In New Zealand, for example, money spent overseas by people leaving the country is replaced by those who visit the country for their holiday.

To conclude, ubiquitous advances in technology have given the consumer more choice in overseas holidays. Although there are negative ramifications of people’s having their holidays in foreign countries, the advantages outweigh the disadvantages.",Yes,No,Yes,No,Yes,No,6.5
Underground is the most efficient mode of transportation,"Nowadays, underground is the most effective mode of transportation. l completely agree with this idea.

The reason why l hold view is that underground is cheaper and more affordable than other transports. That is because, nowadays, students use underground when they go to school, a lot of people use underground when they go to their work. In other words, people use less buses and automobiles. At a result, people use underground a lot.

My second reason is that underground is very fast. That is because people get to place early, when they go to commute. Underground goes one station for 3 minutes in Baku.

Taking everything into account, l agree that underground is the most useful mode of transportation. It affects a lot our life.",No,No,No,No,No,No,5.5
